CourseTitle,Section,CrsPBADiv,N.Ret,CrsLvlNum,N.NOCRED,NComb,PCT.C_MINUS_OR_BELOW,PCT.WDRAW,PCT.DF,CrsPBADept,Workload.Raw,Hours,Instructors.title,RAP,N.ENROLL,PCT.GRADE,Subject_Label,CrsPBAColl,Level,Instructors.name,Workload.Hrs_Wk,NIntrFCQ,N.PASS,AvgInstructor,PCT.F,PCT.D,PCT.B,PCT.C,Instruction_Mode,PCT.A,N.GRADE,N.EOT,Instructors.group,PCT.INCOMP,Course,AvgCourse,N.INCOMP,YearTerm,Activity_Type,Honors,AVG_GRD,Subject
Topics in Humanities,002,AH,13,3XXX,0,1,0.06,0,0.06,HUMN,3.42,3,ASSOCIATE PROFESSOR,0,18,1,Humanities,AS,Upper,"RABAKA, REILAND DEVAUN",7-9,1,0,5.5,0,0.06,0.22,0,P  - In Person,0.72,18,18,1 TTT,0,3093,5.46,0,20137,SEM - Seminar,0,3.58,HUMN
Topics in Humanities,003,AH,11,3XXX,0,1,0.23,0.07,0.15,HUMN,2.50,3,INSTRUCTOR,0,14,1,Humanities,AS,Upper,"BERNARDINI, GIULIA",7-9,1,0,5.18,0.08,0.08,0.38,0.23,P  - In Person,0.23,13,13,2 Other reg,0,3093,5.18,0,20137,SEM - Seminar,0,2.57,HUMN
Narrative,100,AH,29,3XXX,0,1,0.1,0,0.1,HUMN,2.96,3,LECTURER,0,31,1,Humanities,AS,Upper,"WIESE, ANNJEANETTE MICHELLE",7-9,1,0,5.93,0.1,0,0.26,0.06,P  - In Person,0.58,31,31,3 Supp,0,3210,5.62,0,20137,LEC - Lecture,0,3.17,HUMN
Tragedy,100,AH,24,3XXX,0,1,0,0.04,0,HUMN,2.15,3,PROFESSOR,0,28,1,Humanities,AS,Upper,"GORDON, PAUL",4-6,1,0,5.17,0,0,0.3,0.04,P  - In Person,0.67,27,27,1 TTT,0,3240,4.88,0,20137,LEC - Lecture,0,3.52,HUMN
The Postmodern,010,AH,105,3XXX,0,2,0.05,0.01,0.03,HUMN,2.34,3,PROFESSOR,0,137,0.99,Humanities,AS,Upper,"FERRIS, DAVID S",4-6,1,0,5.41,0.02,0.02,0.56,0.08,P  - In Person,0.34,133,135,1 TTT,0.01,3660,5.03,2,20137,LEC - Lecture,0,3.13,HUMN
"Philosophy, Art, and the Sublime",001,AH,19,4XXX,0,1,0.04,0.08,0.04,HUMN,2.50,3,PROFESSOR,0,26,1,Humanities,AS,Upper,"GORDON, PAUL",7-9,1,0,5.63,0.04,0,0.21,0.04,P  - In Person,0.71,24,24,1 TTT,0,4155,5.37,0,20137,LEC - Lecture,0,3.5,HUMN
Literature and Social Violence.,880,AH,14,4XXX,0,1,0,0,0,HUMN,2.67,3,SENIOR INSTRUCTOR,0,15,1,Humanities,AS,Upper,"COMSTOCK, CATHY",7-9,1,0,5.71,0,0,0.2,0,P  - In Person,0.8,15,15,2 Other reg,0,4835,5.57,0,20137,LEC - Lecture,1,3.78,HUMN
Global Issues and International Affairs,100,SS,194,1XXX,0,1,0.19,0.02,0.13,IAFS,2.72,4,PROFESSOR,0,363,1,International Affairs,AS,Lower,"BEARCE, DAVID H.",7-9,1,0,5.46,0.05,0.08,0.44,0.25,P  - In Person,0.18,354,354,1 TTT,0,1000,5.24,0,20137,LEC - Lecture,0,2.58,IAFS
Global Issues and International Affairs,130,SS,,1XXX,0,1,0.12,0,0.06,IAFS,,4,INSTRUCTOR,0,17,1,International Affairs,AS,Lower,"CONZELMAN, CAROLINE S",,,0,,0.06,0,0.24,0.06,P  - In Person,0.65,17,17,2 Other reg,0,1000,,0,20137,LEC - Lecture,0,3.39,IAFS
Special Topics in International Affairs,001,SS,29,3XXX,0,1,0.06,0.06,0.06,IAFS,2.82,3,LECTURER,0,35,1,International Affairs,AS,Upper,"OLSEN, GAY",7-9,1,0,5.17,0.06,0,0.3,0.06,P  - In Person,0.58,33,33,3 Supp,0,3000,4.9,0,20137,SEM - Seminar,0,3.23,IAFS
Special Topics in International Affairs,002,SS,32,3XXX,0,1,0.06,0.03,0.03,IAFS,2.81,3,LECTURER,0,36,0.97,International Affairs,AS,Upper,"SISSON, MELANIE WINOGRAD",7-9,1,0,5.75,0,0.03,0.5,0.15,P  - In Person,0.32,34,35,3 Supp,0.03,3000,5.5,1,20137,SEM - Seminar,0,3.06,IAFS
Special Topics in International Affairs,003,SS,28,3XXX,0,1,0.06,0,0.03,IAFS,3.00,3,LECTURER,0,33,0.97,International Affairs,AS,Upper,"YOUNG, GREGORY D",7-9,1,0,5.73,0,0.03,0.59,0.22,P  - In Person,0.16,32,33,3 Supp,0.03,3000,5.38,1,20137,SEM - Seminar,0,2.9,IAFS
Special Topics in International Affairs,005,SS,27,3XXX,0,1,0,0.03,0,IAFS,2.38,3,INSTRUCTOR,0,32,1,International Affairs,AS,Upper,"SCANLAN-LYONS, COLLEEN M.",4-6,1,0,5.63,0,0,0.52,0,P  - In Person,0.48,31,31,2 Other reg,0,3000,5.22,0,20137,SEM - Seminar,0,3.49,IAFS
The Post-Cold War World,001,SS,9,4XXX,0,1,0,0,0,IAFS,2.22,3,LECTURER,0,29,1,International Affairs,AS,Upper,"DEROCHE, ANDREW JAMES",4-6,1,0,5.22,0,0,0.17,0.03,P  - In Person,0.79,29,29,3 Supp,0,4500,4.89,0,20137,SEM - Seminar,0,3.62,IAFS
The Post-Cold War World,002,SS,21,4XXX,0,1,0,0.1,0,IAFS,2.72,3,LECTURER,0,29,1,International Affairs,AS,Upper,"YOUNG, GREGORY D",7-9,1,0,5.71,0,0,0.77,0.12,P  - In Person,0.12,26,26,3 Supp,0,4500,5.33,0,20137,SEM - Seminar,0,2.95,IAFS
The Post-Cold War World,003,SS,22,4XXX,0,1,0,0,0,IAFS,2.38,3,PROFESSOR,0,27,1,International Affairs,AS,Upper,"DEETZ, STANLEY A",4-6,1,0,5.32,0,0,0.37,0,P  - In Person,0.63,27,27,1 TTT,0,4500,4.95,0,20137,SEM - Seminar,0,3.61,IAFS
The Post-Cold War World,004,SS,1,4XXX,0,1,0,0,0,IAFS,3.00,3,ASST PROFESSOR,0,13,1,International Affairs,AS,Upper,"ZHANG, SHUANG",7-9,1,0,4,0,0,0.31,0.08,P  - In Person,0.62,13,13,1 TTT,0,4500,4,0,20137,SEM - Seminar,0,3.49,IAFS
Internship in International Affairs,801,SS,13,4XXX,0,1,0,0,0,IAFS,5.00,3,INSTRUCTOR,1,13,1,International Affairs,AS,Upper,"WIDENER, MELINDA CAIN",13-15,1,0,5.69,0,0,0.31,0,P  - In Person,0.69,13,13,2 Other reg,0,4930,5.54,0,20137,INT - Internship,0,3.58,IAFS
Introduction to Scientific Writing in Integrative Physiology,001,NS,8,1XXX,0,1,0,0.14,0,IPHY,2.80,3,SENIOR INSTRUCTOR,0,14,1,Integrative Physiology,AS,Lower,"BOYKO, MARIE ELIZABETH",7-9,1,0,5.13,0,0,0.5,0,P  - In Person,0.5,12,12,2 Other reg,0,1950,4.88,0,20137,LEC - Lecture,0,3.5,IPHY
Nutrition for Health and Performance,001,NS,176,2XXX,0,1,0.04,0.01,0.03,IPHY,2.17,3,INSTRUCTOR,0,204,1,Integrative Physiology,AS,Lower,"NELSON, SUZANNE LINN",4-6,1,0,4.78,0.01,0.02,0.44,0.19,P  - In Person,0.34,202,202,2 Other reg,0,2420,4.9,0,20137,LEC - Lecture,0,3.02,IPHY
Nutrition for Health and Performance,002,NS,168,2XXX,0,1,0.11,0.02,0.08,IPHY,2.27,3,INSTRUCTOR,0,200,1,Integrative Physiology,AS,Lower,"NELSON, SUZANNE LINN",4-6,1,0,5.23,0.02,0.06,0.47,0.19,P  - In Person,0.26,196,196,2 Other reg,0,2420,5.35,0,20137,LEC - Lecture,0,2.87,IPHY
Nutrition for Health and Performance,170,NS,,2XXX,0,1,0.06,0.11,0.06,IPHY,,3,INSTRUCTOR,0,19,1,Integrative Physiology,AS,Lower,"LOUIE, DONNA FUNGHAR",,,0,,0,0.06,0.24,0.06,P  - In Person,0.65,17,17,2 Other reg,0,2420,,0,20137,LEC - Lecture,0,3.44,IPHY
Nutrition for Health and Performance,260,NS,,2XXX,0,1,0.16,0,0.11,IPHY,,3,INSTRUCTOR,0,19,1,Integrative Physiology,AS,Lower,"LYNCH, MARYBETH",,,0,,0,0.11,0.53,0.21,P  - In Person,0.16,19,19,2 Other reg,0,2420,,0,20137,LEC - Lecture,0,2.74,IPHY
Nutrition for Health and Performance,261,NS,,2XXX,0,1,0.26,0,0.21,IPHY,,3,INSTRUCTOR,0,19,1,Integrative Physiology,AS,Lower,"LYNCH, MARYBETH",,,0,,0.05,0.16,0.37,0.26,P  - In Person,0.16,19,19,2 Other reg,0,2420,,0,20137,LEC - Lecture,0,2.45,IPHY
Nutrition for Health and Performance,280,NS,,2XXX,0,1,0.07,0.17,0,IPHY,,3,INSTRUCTOR,0,18,1,Integrative Physiology,AS,Lower,"LOUIE, DONNA FUNGHAR",,,0,,0,0,0.53,0.13,P  - In Person,0.33,15,15,2 Other reg,0,2420,,0,20137,LEC - Lecture,0,3.14,IPHY
Nutrition for Health and Performance,281,NS,,2XXX,0,1,0.11,0,0.06,IPHY,,3,INSTRUCTOR,0,18,1,Integrative Physiology,AS,Lower,"LOUIE, DONNA FUNGHAR",,,0,,0,0.06,0.22,0.22,P  - In Person,0.5,18,18,2 Other reg,0,2420,,0,20137,LEC - Lecture,0,3.15,IPHY
Nutrition for Health and Performance,430,NS,,2XXX,0,1,0.05,0.05,0.05,IPHY,,3,INSTRUCTOR,0,20,1,Integrative Physiology,AS,Lower,"LOUIE, DONNA FUNGHAR",,,0,,0,0.05,0.63,0.05,P  - In Person,0.26,19,19,2 Other reg,0,2420,,0,20137,LEC - Lecture,0,3.07,IPHY
Nutrition for Health and Performance,888,NS,,2XXX,0,1,0,0.06,0,IPHY,,3,INSTRUCTOR,0,16,1,Integrative Physiology,AS,Lower,"LYNCH, MARYBETH",,,0,,0,0,0.47,0.07,P  - In Person,0.47,15,15,2 Other reg,0,2420,,0,20137,LEC - Lecture,1,3.44,IPHY
Introduction to Statistics,010,NS,99,2XXX,0,1,0.09,0.03,0.08,IPHY,2.48,4,ASSOCIATE PROFESSOR,0,147,1,Integrative Physiology,AS,Lower,"EHRINGER, MARISSA A",4-6,1,0,4.52,0.02,0.06,0.48,0.19,P  - In Person,0.25,142,142,1 TTT,0,2800,4.01,0,20137,LEC - Lecture,0,2.93,IPHY
Teaching in Integrative Physiology,801,NS,,3XXX,0,1,0,0,0,IPHY,,2,INSTRUCTOR,1,28,1,Integrative Physiology,AS,Upper,"HOBBS, STEVEN L",,,0,,0,0,0,0,P  - In Person,1,28,28,2 Other reg,0,3010,,0,20137,PRA - Practicum,0,4,IPHY
Teaching in Integrative Physiology,802,NS,,3XXX,0,1,0,0,0,IPHY,,2,INSTRUCTOR,1,12,1,Integrative Physiology,AS,Upper,"MADDEN, MOLLY C",,,0,,0,0,0,0,P  - In Person,1,12,12,2 Other reg,0,3010,,0,20137,PRA - Practicum,0,4,IPHY
Teaching in Integrative Physiology,810,NS,,3XXX,0,1,0,0,0,IPHY,,2,INSTRUCTOR,1,18,1,Integrative Physiology,AS,Upper,"NELSON, SUZANNE LINN",,,0,,0,0,0,0,P  - In Person,1,18,18,2 Other reg,0,3010,,0,20137,PRA - Practicum,0,4,IPHY
Cell Physiology,010,NS,45,3XXX,0,1,0.05,0.03,0.05,IPHY,2.93,4,ASSOCIATE PROFESSOR,0,58,1,Integrative Physiology,AS,Upper,"LINK, CHRISTOPHER D",7-9,1,0,5.51,0,0.05,0.45,0.23,P  - In Person,0.27,56,56,1 TTT,0,3060,5.13,0,20137,LEC - Lecture,0,2.92,IPHY
Introduction to Human Anatomy,001,NS,119,3XXX,0,1,0.26,0.06,0.17,IPHY,3.20,3,SENIOR INSTRUCTOR,0,203,1,Integrative Physiology,AS,Upper,"SAUL, LEIF J",7-9,1,0,5.26,0.05,0.12,0.36,0.27,P  - In Person,0.2,191,191,2 Other reg,0,3410,5.14,0,20137,LEC - Lecture,0,2.52,IPHY
Introduction to Human Anatomy,002,NS,101,3XXX,0,1,0.28,0.04,0.17,IPHY,2.93,3,SENIOR INSTRUCTOR,0,223,1,Integrative Physiology,AS,Upper,"HEISLER, RUTH E",7-9,1,0,4.67,0.07,0.11,0.36,0.3,P  - In Person,0.17,213,213,2 Other reg,0,3410,4.7,0,20137,LEC - Lecture,0,2.46,IPHY
Introduction to Human Anatomy,190,NS,,3XXX,0,1,0.42,0,0.25,IPHY,,3,SENIOR INSTRUCTOR,0,12,1,Integrative Physiology,AS,Upper,"HEISLER, RUTH E",,,0,,0.08,0.17,0.42,0.17,P  - In Person,0.17,12,12,2 Other reg,0,3410,,0,20137,LEC - Lecture,0,2.27,IPHY
Human Anatomy Laboratory,001,NS,13,3XXX,0,1,0.21,0.13,0.14,IPHY,4.00,2,INSTRUCTOR,0,16,1,Integrative Physiology,AS,Upper,"HOBBS, STEVEN L",10-12,1,0,5.85,0.14,0,0.64,0.14,P  - In Person,0.07,14,14,2 Other reg,0,3415,5.08,0,20137,MLS - Main Lab,0,2.41,IPHY
Human Anatomy Laboratory,002,NS,10,3XXX,0,1,0.14,0.13,0,IPHY,4.00,2,INSTRUCTOR,0,16,1,Integrative Physiology,AS,Upper,"HOBBS, STEVEN L",10-12,1,0,4.7,0,0,0.36,0.36,P  - In Person,0.29,14,14,2 Other reg,0,3415,4.8,0,20137,MLS - Main Lab,0,2.91,IPHY
Human Anatomy Laboratory,003,NS,13,3XXX,0,2,0.29,0.12,0.14,IPHY,3.50,2,INSTRUCTOR,0,16,1,Integrative Physiology,AS,Upper,"HOBBS, STEVEN L",10-12,1,0,5.25,0.07,0.07,0.29,0.36,P  - In Person,0.21,14,14,2 Other reg,0,3415,5.25,0,20137,MLS - Main Lab,0,2.35,IPHY
Human Anatomy Laboratory,004,NS,12,3XXX,0,1,0.08,0.19,0,IPHY,4.00,2,INSTRUCTOR,0,16,1,Integrative Physiology,AS,Upper,"HOBBS, STEVEN L",10-12,1,0,5.5,0,0,0.54,0.38,P  - In Person,0.08,13,13,2 Other reg,0,3415,5.33,0,20137,MLS - Main Lab,0,2.85,IPHY
Human Anatomy Laboratory,005,NS,14,3XXX,0,1,0.07,0.06,0.07,IPHY,4.00,2,INSTRUCTOR,0,16,1,Integrative Physiology,AS,Upper,"HOBBS, STEVEN L",10-12,1,0,5.86,0,0.07,0.4,0.13,P  - In Person,0.4,15,15,2 Other reg,0,3415,5.36,0,20137,MLS - Main Lab,0,3.03,IPHY
Human Anatomy Laboratory,006,NS,5,3XXX,0,1,0.2,0.06,0.13,IPHY,4.00,2,INSTRUCTOR,0,16,1,Integrative Physiology,AS,Upper,"HOBBS, STEVEN L",10-12,1,0,5.6,0.07,0.07,0.4,0.33,P  - In Person,0.13,15,15,2 Other reg,0,3415,4.6,0,20137,MLS - Main Lab,0,2.55,IPHY
Human Anatomy Laboratory,007,NS,12,3XXX,0,1,0.21,0.13,0.14,IPHY,3.83,2,INSTRUCTOR,0,16,1,Integrative Physiology,AS,Upper,"HOBBS, STEVEN L",10-12,1,0,5.75,0.07,0.07,0.29,0.29,P  - In Person,0.29,14,14,2 Other reg,0,3415,4.92,0,20137,MLS - Main Lab,0,2.66,IPHY
Human Anatomy Laboratory,008,NS,15,3XXX,0,1,0.07,0.06,0.07,IPHY,4.07,2,INSTRUCTOR,0,16,1,Integrative Physiology,AS,Upper,"HOBBS, STEVEN L",10-12,1,0,5.87,0,0.07,0.33,0.07,P  - In Person,0.53,15,15,2 Other reg,0,3415,5.13,0,20137,MLS - Main Lab,0,3.27,IPHY
Human Anatomy Laboratory,009,NS,15,3XXX,0,2,0.06,0,0.06,IPHY,4.14,2,INSTRUCTOR,0,16,1,Integrative Physiology,AS,Upper,"HOBBS, STEVEN L",10-12,1,0,5.53,0.06,0,0.37,0.25,P  - In Person,0.31,16,16,2 Other reg,0,3415,5.33,0,20137,MLS - Main Lab,0,2.89,IPHY
Human Anatomy Laboratory,010,NS,15,3XXX,0,1,0,0.06,0,IPHY,4.33,2,INSTRUCTOR,0,16,1,Integrative Physiology,AS,Upper,"HOBBS, STEVEN L",10-12,1,0,5.87,0,0,0.53,0.07,P  - In Person,0.4,15,15,2 Other reg,0,3415,5.4,0,20137,MLS - Main Lab,0,3.37,IPHY
Human Anatomy Laboratory,011,NS,9,3XXX,0,1,0.31,0,0.13,IPHY,4.11,2,INSTRUCTOR,0,16,1,Integrative Physiology,AS,Upper,"HOBBS, STEVEN L",10-12,1,0,5.89,0,0.13,0.38,0.44,P  - In Person,0.06,16,16,2 Other reg,0,3415,5.44,0,20137,MLS - Main Lab,0,2.36,IPHY
Human Anatomy Laboratory,012,NS,14,3XXX,0,1,0.27,0.06,0.07,IPHY,3.23,2,INSTRUCTOR,0,16,1,Integrative Physiology,AS,Upper,"HOBBS, STEVEN L",7-9,1,0,4.86,0,0.07,0.47,0.27,P  - In Person,0.2,15,15,2 Other reg,0,3415,4.79,0,20137,MLS - Main Lab,0,2.76,IPHY
Human Anatomy Laboratory,013,NS,9,3XXX,0,1,0.19,0,0.06,IPHY,4.22,2,INSTRUCTOR,0,16,1,Integrative Physiology,AS,Upper,"HOBBS, STEVEN L",10-12,1,0,4.55,0.06,0,0.56,0.25,P  - In Person,0.13,16,16,2 Other reg,0,3415,4.67,0,20137,MLS - Main Lab,0,2.65,IPHY
Human Anatomy Laboratory,014,NS,9,3XXX,0,1,0.43,0.13,0.21,IPHY,3.75,2,INSTRUCTOR,0,16,1,Integrative Physiology,AS,Upper,"HOBBS, STEVEN L",10-12,1,0,5.67,0.07,0.14,0.43,0.36,P  - In Person,0,14,14,2 Other reg,0,3415,5.11,0,20137,MLS - Main Lab,0,2.19,IPHY
Human Anatomy Laboratory,015,NS,5,3XXX,0,1,0.33,0.06,0.07,IPHY,3.67,2,INSTRUCTOR,0,16,1,Integrative Physiology,AS,Upper,"HOBBS, STEVEN L",10-12,1,0,4.8,0,0.07,0.13,0.73,P  - In Person,0.07,15,15,2 Other reg,0,3415,5.4,0,20137,MLS - Main Lab,0,2.24,IPHY
Human Anatomy Laboratory,016,NS,14,3XXX,0,1,0.13,0,0.13,IPHY,3.79,2,INSTRUCTOR,0,16,1,Integrative Physiology,AS,Upper,"BUSTAMANTE, HEIDI MARGARITA",10-12,1,0,5.86,0.06,0.06,0.44,0.31,P  - In Person,0.13,16,16,2 Other reg,0,3415,4.93,0,20137,MLS - Main Lab,0,2.48,IPHY
Human Anatomy Laboratory,017,NS,5,3XXX,0,1,0.31,0,0.19,IPHY,4.00,2,INSTRUCTOR,0,16,1,Integrative Physiology,AS,Upper,"HOBBS, STEVEN L",10-12,1,0,5.2,0.06,0.13,0.5,0.31,P  - In Person,0,16,16,2 Other reg,0,3415,5.4,0,20137,MLS - Main Lab,0,2.23,IPHY
Human Anatomy Laboratory,018,NS,8,3XXX,0,1,0.2,0.06,0.13,IPHY,3.25,2,INSTRUCTOR,0,16,1,Integrative Physiology,AS,Upper,"HOBBS, STEVEN L",7-9,1,0,5.88,0.07,0.07,0.33,0.27,P  - In Person,0.27,15,15,2 Other reg,0,3415,5.38,0,20137,MLS - Main Lab,0,2.63,IPHY
Human Anatomy Laboratory,019,NS,10,3XXX,0,1,0.21,0.13,0.14,IPHY,3.50,2,INSTRUCTOR,0,16,1,Integrative Physiology,AS,Upper,"HOBBS, STEVEN L",10-12,1,0,6,0,0.14,0.43,0.07,P  - In Person,0.36,14,14,2 Other reg,0,3415,5.6,0,20137,MLS - Main Lab,0,2.98,IPHY
Human Anatomy Laboratory,020,NS,11,3XXX,0,1,0.21,0.07,0.14,IPHY,4.00,2,INSTRUCTOR,0,15,1,Integrative Physiology,AS,Upper,"HOBBS, STEVEN L",10-12,1,0,5.36,0,0.14,0.36,0.36,P  - In Person,0.14,14,14,2 Other reg,0,3415,5.09,0,20137,MLS - Main Lab,0,2.48,IPHY
Human Anatomy Laboratory,021,NS,14,3XXX,0,1,0.13,0.06,0.07,IPHY,3.93,2,INSTRUCTOR,0,16,1,Integrative Physiology,AS,Upper,"HOBBS, STEVEN L",10-12,1,0,5.64,0.07,0,0.6,0.2,P  - In Person,0.13,15,15,2 Other reg,0,3415,5,0,20137,MLS - Main Lab,0,2.69,IPHY
Human Anatomy Laboratory,022,NS,15,3XXX,0,1,0.25,0,0.19,IPHY,4.43,2,INSTRUCTOR,0,16,1,Integrative Physiology,AS,Upper,"HOBBS, STEVEN L",10-12,1,0,5.8,0.06,0.13,0.38,0.31,P  - In Person,0.13,16,16,2 Other reg,0,3415,4.87,0,20137,MLS - Main Lab,0,2.41,IPHY
Human Anatomy Laboratory,023,NS,13,3XXX,0,1,0.2,0.06,0.07,IPHY,3.67,2,INSTRUCTOR,0,16,1,Integrative Physiology,AS,Upper,"HOBBS, STEVEN L",10-12,1,0,5.46,0,0.07,0.4,0.27,P  - In Person,0.27,15,15,2 Other reg,0,3415,4.92,0,20137,MLS - Main Lab,0,2.87,IPHY
